# 2026-08-26 조사 관점이 낸 신규 기관 229곳
# 소스: docs/데이터/청소년상담복지센터.csv (공공데이터포털) 223곳 + WebSearch 광역 활동진흥센터 6곳
# 형식: 이름 | 종류 | 지역 | 대문주소 | 공고주소 | 칸 | 메모

# 서울 (25)
순천시청소년상담복지센터 |  지역거점 |  전남 |  https://www.sc1388dream.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
나주시청소년상담복지센터 |  지역거점 |  전남 |  https://www.nj1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
광양시청소년상담복지센터 |  지역거점 |  전남 |  https://www.gy1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
담양군청소년상담복지센터 |  지역거점 |  전남 |  https://www.dyy1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
곡성군청소년상담복지센터 |  지역거점 |  전남 |  http://1388.gsyouth.kr | |  심리상담 |  CSV 원문 http · 실장 확인 200
구례군청소년상담복지센터 | 지역거점 | 전남 | | | 심리상담 | 인스타그램만 있음(공식 홈페이지 없음)
고흥군청소년상담복지센터 | 지역거점 | 전남 | | | 심리상담 | 다음카페만 있음(공식 홈페이지 없음)
보성군청소년상담복지센터 |  지역거점 |  전남 |  http://bs1388.co.kr | |  심리상담 |  CSV 원문 http · 실장 확인 403
화순군청소년상담복지센터 |  지역거점 |  전남 |  http://www.hs1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
장흥군청소년상담복지센터 |  지역거점 |  전남 |  http://www.jh1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
강진군청소년상담복지센터 |  지역거점 |  전남 |  https://www.gjyouth.co.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
해남군청소년상담복지센터 |  지역거점 |  전남 |  http://www.hyouth1388.co.kr | |  심리상담 |  CSV 원문 http · 실장 확인 200
영암군청소년상담복지센터 |  지역거점 |  전남 |  https://www.ya1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
무안군청소년상담복지센터 |  지역거점 |  전남 |  https://www.muan.go.kr | |  심리상담 |  군청 하위경로 · 실장 확인 200
함평군청소년상담복지센터 |  지역거점 |  전남 |  https://www.nownow1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
영광군청소년상담복지센터 |  지역거점 |  전남 |  https://www.yg1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
장성군청소년상담복지센터 |  지역거점 |  전남 |  https://www.js1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
완도군청소년상담복지센터 |  지역거점 |  전남 |  http://wd1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
진도군청소년상담복지센터 | 지역거점 | 전남 | | | 심리상담 | 네이버카페만 있음(공식 홈페이지 없음)
신안군청소년상담복지센터 |  지역거점 |  전남 |  http://www.shinan1388.com | |  심리상담 |  CSV 원문 http · 실장 확인 200

